ReceptionTime,d2w
1537855687.73206,1158.7
1537855687.75201,1158.9
1537855687.76785,1158.7
1537855687.78319,1158.4
1537855687.79863,1158.6
1537856288.82856,1158.8
1537856288.91984,1159.8
1537856288.9547,1161.3
1537856288.98841,1162.1
1537856289.02006,1163.8
1537856289.05098,1164.8
1537856289.07859,1166.3
1537856289.09717,1166.3
1537856289.11644,1165.8
1537856289.13255,1166.6
1537856891.0731,1166.5
1537856891.14132,1168.3
1537856891.16792,1168.7
1537856891.1911,1167.6
1537856891.21224,1168.3
1537856891.23147,1168.8
1537856891.24671,1169.5
1537856891.26181,1169.9
1537856891.278,1170.7
1537856891.2937,1172.8
1537857490.78088,1171.3
1537857490.85427,1173.5
1537857490.87093,1174.5
1537857490.88959,1174.5
1537857490.90913,1176.1
1537857490.92831,1175.3
1537857490.94747,1175.7
1537857490.96667,1175.4
1537857490.98591,1176.2
1537857491.00537,1176.5
1537858092.25561,1176.8
1537858092.27555,1178.7
1537858092.29442,1178.9
1537858092.3127,1175.9
1537858092.33071,1177.7
1537858092.35087,1178.1
1537858092.36753,1178.3
1537858092.3877,1179.1
1537858092.40562,1177.9
1537858092.42573,1178.3
1537858691.82535,1179.1
1537858691.84278,1178.2
1537858691.86175,1179.2
1537858691.88009,1178.7
1537858691.89834,1178.8
1537858691.91542,1178.2
1537858691.93248,1178.5
1537858691.94911,1176.8
1537858691.96442,1175.6
1537858691.99688,1175.6
1537859294.08679,1174.9
1537859294.13658,1174.9
1537859294.18535,1175.1
1537859294.22548,1172.8
1537859294.26064,1170.9
1537859294.27611,1170.5
1537859294.29147,1168.9
1537859294.30735,1168.6
1537859294.32357,1169.3
1537859294.33908,1168.1
1537859894.07115,1168.1
1537859894.09562,1166
1537859894.11361,1164.4
1537859894.14814,1163.2
1537859894.16446,1160.7
1537859894.18153,1160.5
1537859894.19696,1160.1
1537859894.21232,1158
1537859894.22769,1158.1
1537859894.2449,1154.6
1537860494.14118,1151.8
1537860494.16857,1152
1537860494.1987,1187.3
1537860494.22985,1174.5
1537860494.25553,1151
1537860494.2773,1187.3
1537860494.2969,1167.1
1537860494.31312,1146.6
1537860494.32957,1146.5
1537860494.34605,1192.4
1537861095.364,1147.2
1537861095.38395,1147
1537861095.40436,1165.7
1537861095.42086,1164
1537861095.4367,1162.2
1537861095.45344,1142.7
1537861095.4691,1160.5
1537861095.48484,1197.8
1537861095.50026,1156.8
1537861095.51756,1154.4
1537861696.61933,1173.9
1537861696.63788,1136.3
1537861696.65403,1157.3
1537861696.67173,1153.8
1537861696.69316,1152.9
