time,d2w,d2w_range,d2w_ROC,d2w_spike,d2w_FlatLine,label
2018-12-16 04:10:00,1396.5560000000007,1,1,1,1,1
2018-12-16 04:15:00,1373.6639999999998,1,1,1,1,1
2018-12-16 04:20:00,1377.848,1,1,1,1,1
2018-12-16 04:25:00,1366.8999999999996,1,1,1,1,1
2018-12-16 04:30:00,1373.1783333333335,1,1,1,1,1
2018-12-16 04:35:00,1368.2695,1,1,1,1,1
2018-12-16 04:40:00,1363.98,1,1,1,1,1
2018-12-16 04:45:00,1358.5737499999998,1,1,1,1,1
2018-12-16 04:50:00,1368.3199999999995,1,1,1,1,1
2018-12-16 04:55:00,1358.681904761904,1,1,1,1,1
2018-12-16 05:00:00,1357.991904761905,1,1,1,1,1
2018-12-16 05:05:00,1357.0704761904765,1,1,1,1,1
2018-12-16 05:10:00,1354.3295238095238,1,1,1,1,1
2018-12-16 05:15:00,1355.8113636363635,1,1,1,1,1
2018-12-16 05:20:00,1344.1319999999996,1,1,1,1,1
2018-12-16 05:25:00,1337.2581818181814,1,1,1,1,1
2018-12-16 05:30:00,1341.604347826087,1,1,1,1,1
2018-12-16 05:35:00,1345.649523809524,1,1,1,1,1
2018-12-16 05:40:00,1327.9480000000008,1,1,1,1,1
2018-12-16 05:45:00,1329.484,1,1,1,1,1
2018-12-16 05:50:00,1326.05,1,1,1,1,1
2018-12-16 05:55:00,1332.68,1,1,1,1,1
2018-12-16 06:00:00,1330.5860000000002,1,1,1,1,1
2018-12-16 06:05:00,1333.7279999999996,1,1,1,1,1
2018-12-16 06:10:00,1338.7900000000004,1,1,1,1,1
2018-12-16 06:15:00,1327.8280000000002,1,1,1,1,1
2018-12-16 06:20:00,1324.4679999999996,1,1,1,1,1
2018-12-16 06:25:00,1321.5204761904765,1,1,1,1,1
2018-12-16 06:30:00,1318.2523809523814,1,1,1,1,1
2018-12-16 06:35:00,1320.0071428571425,1,1,1,1,1
2018-12-16 06:40:00,1311.154,1,1,1,1,1
2018-12-16 06:45:00,1311.7513636363635,1,1,1,1,1
2018-12-16 06:50:00,1299.0013043478266,1,1,1,1,1
2018-12-16 06:55:00,1303.4040000000005,1,1,1,1,1
2018-12-16 07:00:00,1299.5262499999994,1,1,1,1,1
2018-12-16 07:05:00,1304.2519999999995,1,1,1,1,1
2018-12-16 07:10:00,1296.188260869565,1,1,1,1,1
2018-12-16 07:15:00,1294.442,1,1,1,1,1
2018-12-16 07:20:00,1288.042,1,1,1,1,1
2018-12-16 07:25:00,1296.8819999999996,1,1,1,1,1
2018-12-16 07:30:00,1284.977916666667,1,1,1,1,1
2018-12-16 07:35:00,1287.4460000000001,1,1,1,1,1
2018-12-16 07:40:00,1276.8666666666668,1,1,1,1,1
2018-12-16 07:45:00,1278.5970833333333,1,1,1,1,1
2018-12-16 07:50:00,1275.4795238095232,1,1,1,1,1
2018-12-16 07:55:00,1268.9500000000005,1,1,1,1,1
2018-12-16 08:00:00,1274.4520000000002,1,1,1,1,1
2018-12-16 08:05:00,1271.7939999999996,1,1,1,1,1
2018-12-16 08:10:00,1269.5020000000004,1,1,1,1,1
2018-12-16 08:15:00,1270.826,1,1,1,1,1
2018-12-16 08:20:00,1264.7040000000004,1,1,1,1,1
2018-12-16 08:25:00,1268.0887500000003,1,1,1,1,1
2018-12-16 08:30:00,1258.5939999999996,1,1,1,1,1
2018-12-16 08:35:00,1256.9760000000006,1,1,1,1,1
2018-12-16 08:40:00,1253.054,1,1,1,1,1
2018-12-16 08:45:00,1250.5319999999995,1,1,1,1,1
2018-12-16 08:50:00,1248.2939999999999,1,1,1,1,1
2018-12-16 08:55:00,1247.2260000000006,1,1,1,1,1
2018-12-16 09:00:00,1244.822,1,1,1,1,1
2018-12-16 09:05:00,1247.504,1,1,1,1,1
2018-12-16 09:10:00,1248.444516129033,1,1,1,1,1
2018-12-16 09:15:00,1246.0700000000004,1,1,1,1,1
2018-12-16 09:20:00,1245.97,1,1,1,1,1
2018-12-16 09:25:00,1247.2579999999996,1,1,1,1,1
2018-12-16 09:30:00,1260.8060000000005,1,1,1,1,1
2018-12-16 09:35:00,1251.8020000000004,1,1,1,1,1
2018-12-16 09:40:00,1249.9940000000004,1,1,1,1,1
2018-12-16 09:45:00,1256.2519999999995,1,1,1,1,1
2018-12-16 09:50:00,1265.65,1,1,1,1,1
2018-12-16 09:55:00,1250.1291304347826,1,1,1,1,1
